"word","F","M"
"corny",61,63
"corporate",76,133
"correct",52,84
"costa",97,113
"costume",73,53
"costumes",75,46
"couch",220,263
"could",1547,2241
"couldn't",176,289
"count",128,193
"countries",379,557
"country",868,1114
"county",141,208
"couple",571,1012
"courage",59,52
"course",512,760
"cover",80,108
"covered",61,84
"cozy",77,61
"crack",77,132
"craft",73,72
"crafts",77,31
"crafty",83,25
"crap",94,137
"crave",110,75
"crazy",771,838
"cream",166,180
"create",327,416
"created",93,136
"creating",295,338
"creative",1543,1684
"creativity",230,302
"creature",66,58
"creepy",57,57
"crime",194,214
"critical",74,108
"cross",104,131
"crossword",59,48
"crowd",68,114
"crowds",41,69
"cruz",115,201
"cry",149,126
"cuddle",129,160
"cuddling",176,169
"cuisine",60,68
"culinary",76,117
"cultural",204,234
"culturally",38,63
"culture",536,728
"cultured",43,72
"cultures",454,508
"cup",200,260
"cupid",71,137
"curiosity",259,284
"curious",1014,1032
"current",281,434
"currently",1023,1732
"curse",54,56
"curvy",90,20
"cut",121,196
"cute",422,363
"cuz",67,87
"cycling",138,305
"cynical",87,167
"dabble",42,65
"dad",177,340
"daily",358,412
"damn",156,305
"dance",1621,1327
"dancer",214,151
"dancing",1636,1200
"dangerous",31,75
"dare",55,57
"dark",311,410
"data",26,75
"date",603,872
"dated",64,80
"dates",179,293
"dating",1080,1350
"daughter",251,173
"daughters",43,64
"david",44,119
"davis",47,95
"day",2895,3672
"days",1128,1423
"dc",168,229
"de",120,204
"dead",134,173
"deal",295,433
"dear",95,97
"death",98,169
"debate",116,146
"decade",96,113
"decent",143,327
"decide",127,161
"decided",421,662
"decision",88,126
"decisions",78,147
"dedicated",176,224
"deep",636,846
"deeper",95,107
"deeply",357,319
"define",107,161
"definitely",1025,1156
"definition",43,70
"degree",422,754
"degrees",72,151
"delicious",248,214
"delight",65,51
"department",33,76
"dependable",75,158
"depending",105,179
"depends",74,117
"depth",111,125
"describe",856,1076
"described",205,319
"describes",44,75
"describing",88,180
"description",99,146
"desert",93,130
"deserve",70,82
"design",427,717
"designer",178,302
"designing",32,83
"desire",218,356
"desires",59,88
"despite",222,323
"destination",111,123
"destinations",67,76
"detail",35,84
"details",134,209
"determined",116,138
"develop",112,136
"developed",72,107
"developing",75,108
"development",119,190
"devoted",85,97
"did",650,1051
"didn't",394,656
"die",133,205
"died",36,74
"diego",205,286
"diet",61,107
"difference",160,209
"differences",68,89
"different",1406,2072
"difficult",292,418
"dig",138,216
"digital",65,135
"dining",222,251
"dinner",767,738
"dinners",140,135
"direct",233,217
"direction",111,153
"directions",50,54
"director",47,98
"dirt",80,104
"dirty",261,221
"disagree",51,66
"discover",189,286
"discovered",123,199
"discovering",281,290
"discovery",78,87
"discuss",78,119
"discussing",79,135
"discussion",66,99
"discussions",71,103
"dish",76,87
"dishes",102,104
"dislike",160,172
"distance",96,111
"district",38,104
"dive",328,318
"diverse",145,208
"diversity",150,162
"diving",200,256
"divorced",95,145
"dj",43,190
"do",8205,11561
"doctor",69,82
"documentaries",73,77
"documentary",39,69
"does",635,913
"doesn't",1001,1391
"dog",859,732
"dogs",673,539
"doing",1932,2799
"dolores",65,79
"dominant",41,65
"don't",7024,9688
"done",716,1071
"dont",392,674
"door",176,258
"doors",84,187
"dork",128,232
"dorky",127,144
"dose",65,63
"double",68,100
"doubt",91,116
"down",2402,3510
"down-to-earth",199,208
"downtown",77,181
"drag",50,85
"drama",504,548
"draw",152,241
"drawing",156,212
"drawn",209,209
"dream",409,522
"dreamer",126,179
"dreaming",80,64
"dreams",264,386
"dress",330,223
"dressed",154,88
"dresses",92,11
